copy_count,sample_name,sample_index,blender_sample_seed,star_enhancement_seed,star_count,saved_frame_count,metadata_txt_exists,metadata_csv_exists,star_metadata_exists
50,sample_0001,1,648409904,1141991312,253,100,1,1,1
50,sample_0002,2,224336302,3800006413,196,100,1,1,1
50,sample_0003,3,147951376,3781036835,260,100,1,1,1
50,sample_0004,4,250777065,1228873046,257,100,1,1,1
50,sample_0005,5,781966002,189922001,211,100,1,1,1
50,sample_0006,6,193518419,619373729,228,100,1,1,1
50,sample_0007,7,441466777,3698791802,248,100,1,1,1
50,sample_0008,8,107200970,2661718149,204,100,1,1,1
50,sample_0009,9,301954818,4084003032,197,100,1,1,1
50,sample_0010,10,286753994,3945295522,144,100,1,1,1
50,sample_0011,11,194512444,1091427941,252,100,1,1,1
50,sample_0012,12,845230916,786499745,164,100,1,1,1
50,sample_0013,13,780066140,3503032515,186,100,1,1,1
50,sample_0014,14,266253403,58858675,124,100,1,1,1
50,sample_0015,15,551987700,3090217273,122,100,1,1,1
50,sample_0016,16,923486787,458196983,193,100,1,1,1
50,sample_0017,17,588586390,2847434261,159,100,1,1,1
50,sample_0018,18,122730046,3695299914,133,100,1,1,1
50,sample_0019,19,758557984,3905629289,248,100,1,1,1
50,sample_0020,20,1049221,766116954,145,100,1,1,1
50,sample_0021,21,222249848,31928864,227,100,1,1,1
50,sample_0022,22,562279476,2380869155,254,100,1,1,1
50,sample_0023,23,182432555,2193322827,228,100,1,1,1
50,sample_0024,24,160364925,869736492,216,100,1,1,1
50,sample_0025,25,362258552,2621954814,196,100,1,1,1
50,sample_0026,26,611765234,140130742,136,100,1,1,1
50,sample_0027,27,955836876,2019524903,245,100,1,1,1
50,sample_0028,28,704380783,1774209355,220,100,1,1,1
50,sample_0029,29,981926913,3805584166,204,100,1,1,1
50,sample_0030,30,183861044,745327903,154,100,1,1,1
50,sample_0031,31,700453713,3236297314,250,100,1,1,1
50,sample_0032,32,913542324,303068423,131,100,1,1,1
50,sample_0033,33,685870540,3832985523,152,100,1,1,1
50,sample_0034,34,338321243,3585730599,142,100,1,1,1
50,sample_0035,35,531943797,2062414218,171,100,1,1,1
50,sample_0036,36,232343609,3098132887,176,100,1,1,1
50,sample_0037,37,920366814,2145641735,248,100,1,1,1
50,sample_0038,38,75589251,1311824876,167,100,1,1,1
50,sample_0039,39,12299250,4126324019,135,100,1,1,1
50,sample_0040,40,206595259,3484317487,246,100,1,1,1
100,sample_0001,1,477260419,3866198151,239,100,1,1,1
